road_id,segment_id,road_name,from_street,to_street,jurisdiction,latitude,longitude,road_length_miles,lanes,surface_type,functional_class,pci,condition_date,traffic_level,adt,age_years,freeze_thaw,recommended_treatment,treatment_cost_per_lane_mile,data_status,data_source,data_updated_at
GL-ROAD-1,GL-1-33817163801688238003161,Pleasant Dr,,,Grass Lake Charter Township,42.30500538705122,-84.24746247465126,0.111779,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
GL-ROAD-2,GL-2-9215043801688238003164,Fry Rd,,,Grass Lake Charter Township,42.30500538705122,-84.24746247465126,0.052843,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
GL-ROAD-3,GL-3-9171093800318838003136,Leach Rd,,,Grass Lake Charter Township,42.30367790618636,-84.17457506314666,0.816033,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
GL-ROAD-4,GL-4-9171093800319138003188,Leach Rd,,,Grass Lake Charter Township,42.303671935702376,-84.1752984543169,0.037051,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
GL-ROAD-5,GL-5-33800293800303838003191,Maute Rd,,,Grass Lake Charter Township,42.30722646329953,-84.17560907366384,0.246791,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
GL-ROAD-6,GL-6-33817173801688238003196,Lakeshore Dr,,,Grass Lake Charter Township,42.30500538705122,-84.24746247465126,0.161085,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
GL-ROAD-7,GL-7-9170013800319038003111,List Rd,,,Grass Lake Charter Township,42.30466662455783,-84.23876032151556,0.128867,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
GL-ROAD-8,GL-8-9171093800302038003017,Leach Rd,,,Grass Lake Charter Township,42.30743098285358,-84.15276571948776,0.165116,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
GL-ROAD-9,GL-9-33801173801747738017479,Grass Lake Rest Area,,,Grass Lake Charter Township,42.29274535912538,-84.21390295908566,0.119833,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
GL-ROAD-10,GL-10-18421043801747738017479,Grass Lake Rest Area,,,Grass Lake Charter Township,42.29274535912538,-84.21390295908566,0.144553,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
