road_id,segment_id,road_name,from_street,to_street,jurisdiction,latitude,longitude,road_length_miles,lanes,surface_type,functional_class,pci,condition_date,traffic_level,adt,age_years,freeze_thaw,recommended_treatment,treatment_cost_per_lane_mile,data_status,data_source,data_updated_at
NAP-ROAD-1,NAP-1-33806683801155338011559,Carbary Dr,,,Napoleon Township,42.190854515517536,-84.3029420756699,0.094842,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
NAP-ROAD-2,NAP-2-9181093801159838011172,Wolf Lake Rd,,,Napoleon Township,42.18949569655545,-84.22166587715815,0.316514,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
NAP-ROAD-3,NAP-3-9159013801160038018230,Olcott Lake Dr,,,Napoleon Township,42.19014694937942,-84.26824329742108,0.17835,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
NAP-ROAD-4,NAP-4-33801073801160038016855,W Olcott Lake Dr,,,Napoleon Township,42.19014694937942,-84.26824329742108,0.261032,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
NAP-ROAD-5,NAP-5-33813673802179038025521,Donavon Dr,,,Napoleon Township,42.190812825051914,-84.31909016978099,0.039189,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
NAP-ROAD-6,NAP-6-9157203801156938018219,Ackerson Lake Dr,,,Napoleon Township,42.19206040984668,-84.35401258154418,0.057765,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
NAP-ROAD-7,NAP-7-9157043801162938016843,Bay View Rd,,,Napoleon Township,42.18924182263281,-84.23286124622848,0.104559,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
NAP-ROAD-8,NAP-8-33806713801152838016870,Ackerson Lake Dr,,,Napoleon Township,42.19260499298384,-84.35525972944438,0.112445,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
NAP-ROAD-9,NAP-9-33813683802011638020117,Donavon Dr,,,Napoleon Township,42.19124069310328,-84.31723276389646,0.054011,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
NAP-ROAD-10,NAP-10-33813673802178938021790,Donavon Dr,,,Napoleon Township,42.19110037837322,-84.32016621969828,0.090802,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
NAP-ROAD-11,NAP-11-33813673802552138021791,Donavon Dr,,,Napoleon Township,42.19082182491171,-84.31833064297243,0.04288,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
NAP-ROAD-12,NAP-12-33813673802179138020117,Donavon Dr,,,Napoleon Township,42.190473273805715,-84.31766691039235,0.011704,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
NAP-ROAD-13,NAP-13-9182173801152238011631,Greens Dr,,,Napoleon Township,42.1905431804093,-84.22835324572763,0.212033,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
NAP-ROAD-14,NAP-14-9158033801094438010792,Shardale Dr,,,Napoleon Township,42.19812208559024,-84.3545893122407,0.230964,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
