"road_id","segment_id","road_name","from_street","to_street","jurisdiction","latitude","longitude","road_length_miles","lanes","surface_type","functional_class","pci","condition_date","traffic_level","adt","age_years","freeze_thaw","recommended_treatment","treatment_cost_per_lane_mile","data_status","data_source","data_updated_at"
"SA-ROAD-1","SA-1-33814803802036138020364","Stonewood Creek Dr","","","Spring Arbor Township","42.2468433694052","-84.5000069065494","0.0155","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-2","SA-2-33814793802036138020363","Stonewood Creek Dr","","","Spring Arbor Township","42.2468433694052","-84.5000069065494","0.022","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-3","SA-3-33805513801670538020361","Indian Creek Dr","","","Spring Arbor Township","42.2454087740912","-84.5010794744468","0.0372","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-4","SA-4-33813173802000838020009","Magnolia Pkwy","","","Spring Arbor Township","42.2445255041422","-84.4837268863535","0.0095","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-5","SA-5-33805513801670838016705","Indian Creek Dr","","","Spring Arbor Township","42.2447412877431","-84.5017273281818","0.0174","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-6","SA-6-33813173802000738020008","Magnolia Pkwy","","","Spring Arbor Township","42.2443965836558","-84.4859418645396","0.0349","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-7","SA-7-33813183802000738020008","Mulberry Cir","","","Spring Arbor Township","42.2443965836558","-84.4859418645396","0.0565","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-8","SA-8-33813173802000538020007","Magnolia Pkwy","","","Spring Arbor Township","42.244379227953","-84.4888893398271","0.0461","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-9","SA-9- 9038023802000538007041","O Brien Rd","","","Spring Arbor Township","42.244379227953","-84.4888893398271","0.0577","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-10","SA-10-33805503801670838016709","Stonewood Ct","","","Spring Arbor Township","42.2447412877431","-84.5017273281818","0.0349","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-11","SA-11-33805513802036238016708","Indian Creek Dr","","","Spring Arbor Township","42.2443105589439","-84.5018607577344","0.0094","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-12","SA-12-33805513801670338020362","Indian Creek Dr","","","Spring Arbor Township","42.243402263145","-84.5017914106895","0.0192","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-13","SA-13-33805523800758538007559","Baldwin Rd","","","Spring Arbor Township","42.2437628913363","-84.590944171809","0.0685","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-14","SA-14- 9077013800760038007199","S Parma Rd","","","Spring Arbor Township","42.2438057876391","-84.5995616063878","0.078","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-15","SA-15-33805523800760038007585","Baldwin Rd","","","Spring Arbor Township","42.2438057876391","-84.5995616063878","0.1347","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-16","SA-16- 9038023800764838020005","O Brien Rd","","","Spring Arbor Township","42.2416277696011","-84.4886872253317","0.058","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-17","SA-17- 9038023800766538007648","O Brien Rd","","","Spring Arbor Township","42.2415050590522","-84.488680846474","0.0026","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-18","SA-18-33805493801670438016703","Stonewood Dr","","","Spring Arbor Township","42.2414407894449","-84.4986656575108","0.0964","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-19","SA-19-33805513801670438016703","Indian Creek Dr","","","Spring Arbor Township","42.2414407894449","-84.4986656575108","0.0819","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-20","SA-20-33805493801670238016704","Stonewood Dr","","","Spring Arbor Township","42.2403038492659","-84.4984857441585","0.0243","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-21","SA-21- 9037103801670238007810","Slayton Rd","","","Spring Arbor Township","42.2403038492659","-84.4984857441585","0.0114","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-22","SA-22- 9037103800784338016702","Slayton Rd","","","Spring Arbor Township","42.2402814419424","-84.5145920629508","0.2517","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-23","SA-23- 9037103800785138007843","Slayton Rd","","","Spring Arbor Township","42.2402685265535","-84.5175874609064","0.0468","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-24","SA-24- 8997053800785138007053","S Sandstone Rd","","","Spring Arbor Township","42.2402685265535","-84.5175874609064","0.15","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-25","SA-25- 9038013802001638007810","Bunting Rd","","","Spring Arbor Township","42.2398606561299","-84.4976377749446","0.0082","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-26","SA-26-33813143802001038020012","Aviara Oaks Pkwy","","","Spring Arbor Township","42.2397816840625","-84.4961627049303","0.0212","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-27","SA-27-33813143802001638020010","Aviara Oaks Pkwy","","","Spring Arbor Township","42.2398606561299","-84.4976377749446","0.0232","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-28","SA-28-33813153802001238020013","Unknown","","","Spring Arbor Township","42.2397906625938","-84.4948088552941","0.0084","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-29","SA-29-33813143802001238020014","Aviara Oaks Pkwy","","","Spring Arbor Township","42.2397906625938","-84.4948088552941","0.0301","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-30","SA-30- 8997053800798538007851","S Sandstone Rd","","","Spring Arbor Township","42.2388972146443","-84.5174697514037","0.0289","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-31","SA-31-33813163802001038020011","Englehardt Strasse","","","Spring Arbor Township","42.2397816840625","-84.4961627049303","0.0485","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-32","SA-32- 9042073800810538008102","Sequoia Dr","","","Spring Arbor Township","42.2371435605428","-84.4835422560106","0.0104","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-33","SA-33- 9041053800810538008069","Catalina Dr","","","Spring Arbor Township","42.2371435605428","-84.4835422560106","0.0151","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-34","SA-34- 9042073800812238008105","Sequoia Dr","","","Spring Arbor Township","42.2369938854249","-84.4870319268779","0.0547","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-35","SA-35- 9042043800812238007993","Trinity Ln","","","Spring Arbor Township","42.2369938854249","-84.4870319268779","0.0348","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-36","SA-36- 9041053800819138008105","Catalina Dr","","","Spring Arbor Township","42.2360715082231","-84.4835031463154","0.0226","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-37","SA-37- 9042063800820738008191","Fleetwood Ln","","","Spring Arbor Township","42.2359940363929","-84.4870162184793","0.0549","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-38","SA-38- 9042043800820738008122","Trinity Ln","","","Spring Arbor Township","42.2359940363929","-84.4870162184793","0.021","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-39","SA-39- 9042053800830938008308","Staten Dr","","","Spring Arbor Township","42.2350492982322","-84.4834913031603","0.0108","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
"SA-ROAD-40","SA-40- 9041053800830938008191","Catalina Dr","","","Spring Arbor Township","42.2350492982322","-84.4834913031603","0.0215","2","Asphalt","Local","65","2026-08-16","Medium","1000","10","Moderate","Crack Seal","1","provisional","Michigan GIS Open Data + Paventra rehearsal assumptions","2026-08-16"
