road_id,segment_id,road_name,from_street,to_street,jurisdiction,latitude,longitude,road_length_miles,lanes,surface_type,functional_class,pci,condition_date,traffic_level,adt,age_years,freeze_thaw,recommended_treatment,treatment_cost_per_lane_mile,data_status,data_source,data_updated_at
SUM-ROAD-1,SUM-1-8972073800693238006931,W Michigan Ave,,,Summit Township,42.247405451847776,-84.43443379435226,0.064037,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-2,SUM-2-8972073800693538006932,W Michigan Ave,,,Summit Township,42.24741442713074,-84.4356389344329,0.06178,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-3,SUM-3-8972073800694138006935,W Michigan Ave,,,Summit Township,42.24741200189327,-84.43927824381926,0.186554,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-4,SUM-4-9091053800694938006945,W Main St,,,Summit Township,42.2474524254758,-84.44273561973493,0.053012,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-5,SUM-5-8972073800694538006941,W Michigan Ave,,,Summit Township,42.24770274215044,-84.44189472606139,0.137535,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-6,SUM-6-9106103800697038006961,W Main St,,,Summit Township,42.247446820953115,-84.45783597715686,0.245875,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-7,SUM-7-9106103800697138006970,W Main St,,,Summit Township,42.247447700443054,-84.45896567824718,0.057909,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-8,SUM-8-9106103800697238006971,W Main St,,,Summit Township,42.24744818114029,-84.4590277065096,0.00318,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-9,SUM-9-9106103800697538006972,W Main St,,,Summit Township,42.247456089620314,-84.46018580914732,0.05937,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-10,SUM-10-9106103800697738006975,W Main St,,,Summit Township,42.24745434713804,-84.46132077190074,0.058179,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-11,SUM-11-9106103800697938006977,W Main St,,,Summit Township,42.24746537312085,-84.46258364823346,0.06474,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-12,SUM-12-9174063800698038006989,Barnes Rd,,,Summit Township,42.24757088321423,-84.47120362189382,0.126745,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-13,SUM-13-33813773800700238007003,M 60 Crossover,,,Summit Township,42.24744058888417,-84.4760392776588,0.019216,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-14,SUM-14-17733063800700638006971,Commons Blvd,,,Summit Township,42.247094805851056,-84.45895669549617,0.024352,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-15,SUM-15-8999073800702438006935,18th St,,,Summit Township,42.24651273897549,-84.43564779951545,0.062212,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-16,SUM-16-33800653800702438007028,Cortland Blvd,,,Summit Township,42.24651273897549,-84.43564779951545,0.186284,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-17,SUM-17-9003023800702838006941,21st St,,,Summit Township,42.24650088161299,-84.43928175168197,0.062861,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-18,SUM-18-9091043800703338017237,Cortland Blvd,,,Summit Township,42.246514305212905,-84.44299938888129,0.06553,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-19,SUM-19-9091013800703338006949,24th St,,,Summit Township,42.246514305212905,-84.44299938888129,0.071247,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-20,SUM-20-33815473802065638020657,Hawthorne Ct,,,Summit Township,42.24656475040001,-84.45804765986608,0.038183,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-21,SUM-21-33815473800706838020656,Hawthorne Cir,,,Summit Township,42.2465085819446,-84.45832848666602,0.014908,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-22,SUM-22-17733063800706838007006,Commons Blvd,,,Summit Township,42.2465085819446,-84.45832848666602,0.052319,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-23,SUM-23-17734133800700638007021,Peppertree Cir,,,Summit Township,42.247094805851056,-84.45895669549617,0.123555,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-24,SUM-24-8999083800715438006932,17th St,,,Summit Township,42.24564372904952,-84.43440701883839,0.121555,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-25,SUM-25-9100053800714738006931,S Brown St,,,Summit Township,42.24561159435702,-84.43319739628305,0.124384,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-26,SUM-26-9091033800715438007147,W Washington Ave,,,Summit Township,42.24564372904952,-84.43440701883839,0.062048,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-27,SUM-27-9091033800715838007154,W Washington Ave,,,Summit Township,42.24562166851688,-84.43563774742721,0.063108,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-28,SUM-28-8999073800715838007024,18th St,,,Summit Township,42.24562166851688,-84.43563774742721,0.06148,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-29,SUM-29-9091033800716338007158,W Washington Ave,,,Summit Township,42.24561213403554,-84.43808657829116,0.125534,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-30,SUM-30-9091033800716738007163,W Washington Ave,,,Summit Township,42.24562180190446,-84.43927780148329,0.061068,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-31,SUM-31-9003023800716738007028,21st St,,,Summit Township,42.24562180190446,-84.43927780148329,0.060651,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-32,SUM-32-9091033800717138007167,W Washington Ave,,,Summit Township,42.24562450561476,-84.44048625485144,0.061948,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-33,SUM-33-9091033800717538007171,W Washington Ave,,,Summit Township,42.245627071645636,-84.44175835787587,0.065211,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-34,SUM-34-9091033800717738007175,W Washington Ave,,,Summit Township,42.245619829269785,-84.44297738044651,0.062492,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-35,SUM-35-9091013800717738007033,24th St,,,Summit Township,42.245619829269785,-84.44297738044651,0.061723,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-36,SUM-36-33808903800695338007180,Tanbark Ln E,,,Summit Township,42.24745410199994,-84.44515461671187,0.125148,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-37,SUM-37-9091033800718038007177,W Washington Ave,,,Summit Township,42.24564024368132,-84.44513474234529,0.110607,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-38,SUM-38-9091033800718338007180,W Washington Ave,,,Summit Township,42.24563160936728,-84.44713347578413,0.102461,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-39,SUM-39-33808903800718338006943,Tanbark Ln W,,,Summit Township,42.24563160936728,-84.44713347578413,0.130765,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-40,SUM-40-17733063800719038007068,Commons Blvd,,,Summit Township,42.24578829757923,-84.45857930662874,0.052371,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-41,SUM-41-9091033800718438007183,W Washington Ave,,,Summit Township,42.245639472307886,-84.44930173735453,0.111151,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-42,SUM-42-33800673800718438007055,Depuy Ave,,,Summit Township,42.245639472307886,-84.44930173735453,0.108523,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-43,SUM-43-9091033800718538007184,W Washington Ave,,,Summit Township,42.245634742170516,-84.4507746349133,0.075505,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-44,SUM-44-9091033800718738007185,W Washington Ave,,,Summit Township,42.24565118005362,-84.45272836570297,0.100159,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-45,SUM-45-9101023800718738006961,Forest Ave,,,Summit Township,42.24565118005362,-84.45272836570297,0.133733,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-46,SUM-46-17734023800721538020656,Hawthorne Cir,,,Summit Township,42.24567167017249,-84.45836866975912,0.091941,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-47,SUM-47-17734113800719038007215,Hickory Ct,,,Summit Township,42.24578829757923,-84.45857930662874,0.013466,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-48,SUM-48-9091033800719838007187,W Washington Ave,,,Summit Township,42.245476852458914,-84.4549006902954,0.119196,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-49,SUM-49-9108033800721438007216,Deerfield Dr,,,Summit Township,42.24558426853653,-84.46809611100775,0.213111,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-50,SUM-50-9090063800721438007189,Westchester Blvd,,,Summit Township,42.24558426853653,-84.46809611100775,0.032336,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-51,SUM-51-17733083800723338007103,Roxbury Cir,,,Summit Township,42.245181974599,-84.46178932180149,0.135953,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-52,SUM-52-17733063800723638007233,Commons Blvd,,,Summit Township,42.24518792600344,-84.46257084113581,0.040065,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-53,SUM-53-8998063800723638006979,Robinson Rd,,,Summit Township,42.24518792600344,-84.46257084113581,0.157137,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-54,SUM-54-17733063800723538007190,Commons Blvd,,,Summit Township,42.2451207506355,-84.45977335873891,0.076961,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-55,SUM-55-17733063800723338007247,Commons Blvd,,,Summit Township,42.245181974599,-84.46178932180149,0.061527,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-56,SUM-56-17733063800724738007235,Commons Blvd,,,Summit Township,42.24502567904454,-84.46061104261821,0.044296,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-57,SUM-57-9090063800729438007214,Westchester Blvd,,,Summit Township,42.24455565072196,-84.46809984818276,0.070968,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
SUM-ROAD-58,SUM-58-17734113800721538017249,Hickory Ct,,,Summit Township,42.24567167017249,-84.45836866975912,0.112269,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
