road_id,segment_id,road_name,from_street,to_street,jurisdiction,latitude,longitude,road_length_miles,lanes,surface_type,functional_class,pci,condition_date,traffic_level,adt,age_years,freeze_thaw,recommended_treatment,treatment_cost_per_lane_mile,data_status,data_source,data_updated_at
BLK-ROAD-1,BLK-1-9142013800547738005405,Varden Dr,,,Blackman Charter Township,42.260958143291454,-84.44121679159066,0.071312,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-2,BLK-2-9146063800548038005477,Dover Ave,,,Blackman Charter Township,42.26095563765856,-84.44293251487375,0.087932,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-3,BLK-3-8974083800548038005410,Maynard Ave,,,Blackman Charter Township,42.26095563765856,-84.44293251487375,0.071244,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-4,BLK-4-9142013800553638005477,Varden Dr,,,Blackman Charter Township,42.25999775179103,-84.44121241891771,0.066261,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-5,BLK-5-9146053800553438005536,Chesning St,,,Blackman Charter Township,42.2600042873144,-84.44294456144216,0.088774,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-6,BLK-6-8974083800553438005480,Maynard Rd,,,Blackman Charter Township,42.2600042873144,-84.44294456144216,0.06564,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-7,BLK-7-9142083800565738005384,Wayne St,,,Blackman Charter Township,42.25899161657369,-84.43448459104246,0.208051,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-8,BLK-8-9144093800564938005382,N Brown St,,,Blackman Charter Township,42.25896813076773,-84.43315142249108,0.208069,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-9,BLK-9-9143013800565738005649,W North St,,,Blackman Charter Township,42.25899161657369,-84.43448459104246,0.068346,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-10,BLK-10-8974083800564238005534,Maynard Ave,,,Blackman Charter Township,42.2590935305136,-84.44294072091469,0.062837,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-11,BLK-11-9143013800565838005657,W North St,,,Blackman Charter Township,42.25898168687686,-84.43586717790554,0.070863,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-12,BLK-12-9142073800565838005390,Winifred St,,,Blackman Charter Township,42.25898168687686,-84.43586717790554,0.20811,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-13,BLK-13-9143013800565938005658,W North St,,,Blackman Charter Township,42.258986480038665,-84.43706846262806,0.061568,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-14,BLK-14-9142063800565938005391,Longfellow Ave,,,Blackman Charter Township,42.258986480038665,-84.43706846262806,0.207333,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-15,BLK-15-9143013800566138005659,W North St,,,Blackman Charter Township,42.25898293754924,-84.4382120219363,0.05861,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-16,BLK-16-9142053800566138005396,Lowell Ave,,,Blackman Charter Township,42.25898293754924,-84.4382120219363,0.207776,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-17,BLK-17-9142013800566538005536,Varden Dr,,,Blackman Charter Township,42.25901418822236,-84.44121824555728,0.06786,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-18,BLK-18-9142033800566438005402,Browning Ave,,,Blackman Charter Township,42.25900242304424,-84.44044639120054,0.206592,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
BLK-ROAD-19,BLK-19-9143013800566538005664,W North St,,,Blackman Charter Township,42.25901418822236,-84.44121824555728,0.039567,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
